round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,28,52,6,13,0.8081,0.8966,0.6829,0.8455,0.6829,0.8966,0.7467,0.82
2,28,55,8,8,0.8384,0.873,0.7778,0.873,0.7778,0.873,0.7778,0.8799
3,20,52,9,18,0.7273,0.8525,0.5263,0.7939,0.5263,0.8525,0.597,0.7563
4,26,58,2,13,0.8485,0.9667,0.6667,0.8855,0.6667,0.9667,0.7761,0.8239
5,19,60,7,13,0.798,0.8955,0.5938,0.8571,0.5938,0.8955,0.6552,0.7959
6,34,49,2,14,0.8384,0.9608,0.7083,0.8596,0.7083,0.9608,0.8095,0.9054
7,18,58,10,13,0.7677,0.8529,0.5806,0.8345,0.5806,0.8529,0.6102,0.7206
8,20,64,2,13,0.8485,0.9697,0.6061,0.8951,0.6061,0.9697,0.7273,0.8072
9,21,64,2,12,0.8586,0.9697,0.6364,0.9014,0.6364,0.9697,0.75,0.8512
10,25,57,5,12,0.8283,0.9194,0.6757,0.8702,0.6757,0.9194,0.7463,0.871
11,21,58,8,12,0.798,0.8788,0.6364,0.8529,0.6364,0.8788,0.6774,0.8108
12,21,63,7,8,0.8485,0.9,0.7241,0.8936,0.7241,0.9,0.7368,0.8182
13,21,58,6,14,0.798,0.9062,0.6,0.8529,0.6,0.9062,0.6774,0.7846
14,21,65,1,12,0.8687,0.9848,0.6364,0.9091,0.6364,0.9848,0.7636,0.9022
15,28,55,4,12,0.8384,0.9322,0.7,0.873,0.7,0.9322,0.7778,0.8737
16,24,53,5,17,0.7778,0.9138,0.5854,0.8281,0.5854,0.9138,0.6857,0.8053
17,22,61,4,12,0.8384,0.9385,0.6471,0.8841,0.6471,0.9385,0.7333,0.8299
18,22,60,7,10,0.8283,0.8955,0.6875,0.8759,0.6875,0.8955,0.7213,0.8335
19,12,68,3,16,0.8081,0.9577,0.4286,0.8774,0.4286,0.9577,0.5581,0.7822
20,24,62,3,10,0.8687,0.9538,0.7059,0.9051,0.7059,0.9538,0.7869,0.8796
21,20,61,3,15,0.8182,0.9531,0.5714,0.8714,0.5714,0.9531,0.6897,0.8174
22,19,60,6,14,0.798,0.9091,0.5758,0.8571,0.5758,0.9091,0.6552,0.7842
23,20,62,7,10,0.8283,0.8986,0.6667,0.8794,0.6667,0.8986,0.7018,0.82
24,24,57,7,11,0.8182,0.8906,0.6857,0.8636,0.6857,0.8906,0.7273,0.8317
25,21,61,4,13,0.8283,0.9385,0.6176,0.8777,0.6176,0.9385,0.7119,0.8032
26,25,55,5,14,0.8081,0.9167,0.641,0.8527,0.641,0.9167,0.7246,0.8449
27,24,56,5,14,0.8081,0.918,0.6316,0.855,0.6316,0.918,0.7164,0.7996
28,19,59,8,13,0.7879,0.8806,0.5938,0.8489,0.5938,0.8806,0.6441,0.8605
29,27,60,3,9,0.8788,0.9524,0.75,0.9091,0.75,0.9524,0.8182,0.9105
30,21,59,6,13,0.8081,0.9077,0.6176,0.8613,0.6176,0.9077,0.6885,0.7914
31,21,63,5,10,0.8485,0.9265,0.6774,0.8936,0.6774,0.9265,0.7368,0.8397
32,24,58,9,8,0.8283,0.8657,0.75,0.8722,0.75,0.8657,0.7385,0.8095
33,24,53,7,15,0.7778,0.8833,0.6154,0.8281,0.6154,0.8833,0.6857,0.7874
34,28,53,5,13,0.8182,0.9138,0.6829,0.8548,0.6829,0.9138,0.7568,0.8553
35,21,56,9,13,0.7778,0.8615,0.6176,0.8358,0.6176,0.8615,0.6562,0.8281
36,28,57,3,11,0.8586,0.95,0.7179,0.8906,0.7179,0.95,0.8,0.8577
37,20,62,3,14,0.8283,0.9538,0.5882,0.8794,0.5882,0.9538,0.7018,0.7511
38,26,62,0,11,0.8889,1.0,0.7027,0.9185,0.7027,1.0,0.8254,0.8836
39,21,67,3,8,0.8889,0.9571,0.7241,0.9241,0.7241,0.9571,0.7925,0.8621
40,29,59,2,9,0.8889,0.9672,0.7632,0.9147,0.7632,0.9672,0.8406,0.9245
41,28,57,3,11,0.8586,0.95,0.7179,0.8906,0.7179,0.95,0.8,0.8671
42,19,60,5,15,0.798,0.9231,0.5588,0.8571,0.5588,0.9231,0.6552,0.7695
43,28,55,3,13,0.8384,0.9483,0.6829,0.873,0.6829,0.9483,0.7778,0.8963
44,17,66,4,12,0.8384,0.9429,0.5862,0.8919,0.5862,0.9429,0.68,0.7951
45,25,58,3,13,0.8384,0.9508,0.6579,0.8788,0.6579,0.9508,0.7576,0.8928
46,30,56,3,10,0.8687,0.9492,0.75,0.896,0.75,0.9492,0.8219,0.8767
47,22,59,6,12,0.8182,0.9077,0.6471,0.8676,0.6471,0.9077,0.7097,0.7471
48,31,52,2,14,0.8384,0.963,0.6889,0.8667,0.6889,0.963,0.7949,0.8167
49,19,63,4,13,0.8283,0.9403,0.5938,0.8811,0.5938,0.9403,0.6909,0.8151
50,15,70,3,11,0.8586,0.9589,0.5769,0.9091,0.5769,0.9589,0.6818,0.77
51,26,57,2,14,0.8384,0.9661,0.65,0.8769,0.65,0.9661,0.7647,0.8114
52,23,60,1,15,0.8384,0.9836,0.6053,0.8824,0.6053,0.9836,0.7419,0.8555
53,18,64,3,14,0.8283,0.9552,0.5625,0.8828,0.5625,0.9552,0.6792,0.8535
54,27,60,2,10,0.8788,0.9677,0.7297,0.9091,0.7297,0.9677,0.8182,0.8864
55,21,66,2,10,0.8788,0.9706,0.6774,0.9167,0.6774,0.9706,0.7778,0.8705
56,17,68,4,10,0.8586,0.9444,0.6296,0.9067,0.6296,0.9444,0.7083,0.8372
57,28,53,4,14,0.8182,0.9298,0.6667,0.8548,0.6667,0.9298,0.7568,0.8158
58,17,65,6,11,0.8283,0.9155,0.6071,0.8844,0.6071,0.9155,0.6667,0.7553
59,30,53,6,10,0.8384,0.8983,0.75,0.8689,0.75,0.8983,0.7895,0.8894
60,19,61,6,13,0.8081,0.9104,0.5938,0.8652,0.5938,0.9104,0.6667,0.7743
61,24,56,5,14,0.8081,0.918,0.6316,0.855,0.6316,0.918,0.7164,0.7895
62,25,52,3,19,0.7778,0.9455,0.5682,0.8254,0.5682,0.9455,0.6944,0.8083
63,16,63,9,11,0.798,0.875,0.5926,0.863,0.5926,0.875,0.6154,0.7973
64,22,59,1,17,0.8182,0.9833,0.5641,0.8676,0.5641,0.9833,0.7097,0.8746
65,27,54,5,13,0.8182,0.9153,0.675,0.8571,0.675,0.9153,0.75,0.8142
66,25,58,5,11,0.8384,0.9206,0.6944,0.8788,0.6944,0.9206,0.7576,0.8159
67,20,63,6,10,0.8384,0.913,0.6667,0.8873,0.6667,0.913,0.7143,0.8097
68,24,59,3,13,0.8384,0.9516,0.6486,0.8806,0.6486,0.9516,0.75,0.8191
69,29,51,5,14,0.8081,0.9107,0.6744,0.843,0.6744,0.9107,0.7532,0.8102
70,17,65,3,14,0.8283,0.9559,0.5484,0.8844,0.5484,0.9559,0.6667,0.8278
71,22,61,5,11,0.8384,0.9242,0.6667,0.8841,0.6667,0.9242,0.7333,0.7548
72,19,60,9,11,0.798,0.8696,0.6333,0.8571,0.6333,0.8696,0.6552,0.8541
73,27,59,3,10,0.8687,0.9516,0.7297,0.9008,0.7297,0.9516,0.806,0.8827
74,23,56,5,15,0.798,0.918,0.6053,0.8485,0.6053,0.918,0.697,0.8343
75,16,63,7,13,0.798,0.9,0.5517,0.863,0.5517,0.9,0.6154,0.7626
76,21,56,4,18,0.7778,0.9333,0.5385,0.8358,0.5385,0.9333,0.6562,0.8295
77,18,68,4,9,0.8687,0.9444,0.6667,0.9128,0.6667,0.9444,0.7347,0.8891
78,19,53,7,20,0.7273,0.8833,0.4872,0.797,0.4872,0.8833,0.5846,0.791
79,36,50,5,8,0.8687,0.9091,0.8182,0.885,0.8182,0.9091,0.8471,0.9029
80,21,59,5,14,0.8081,0.9219,0.6,0.8613,0.6,0.9219,0.6885,0.8147
81,16,63,4,16,0.798,0.9403,0.5,0.863,0.5,0.9403,0.6154,0.8232
82,26,60,2,11,0.8687,0.9677,0.7027,0.9023,0.7027,0.9677,0.8,0.867
83,27,64,3,5,0.9192,0.9552,0.8438,0.9412,0.8438,0.9552,0.871,0.9445
84,21,64,3,11,0.8586,0.9552,0.6562,0.9014,0.6562,0.9552,0.75,0.7999
85,22,60,5,12,0.8283,0.9231,0.6471,0.8759,0.6471,0.9231,0.7213,0.8269
86,32,48,7,12,0.8081,0.8727,0.7273,0.8348,0.7273,0.8727,0.7711,0.8258
87,25,57,5,12,0.8283,0.9194,0.6757,0.8702,0.6757,0.9194,0.7463,0.884
88,21,60,4,14,0.8182,0.9375,0.6,0.8696,0.6,0.9375,0.7,0.8223
89,23,64,5,7,0.8788,0.9275,0.7667,0.9143,0.7667,0.9275,0.7931,0.8884
90,20,57,2,20,0.7778,0.9661,0.5,0.8382,0.5,0.9661,0.6452,0.8038
91,22,56,9,12,0.7879,0.8615,0.6471,0.8421,0.6471,0.8615,0.6769,0.8652
92,24,59,5,11,0.8384,0.9219,0.6857,0.8806,0.6857,0.9219,0.75,0.8737
93,22,54,6,17,0.7677,0.9,0.5641,0.8244,0.5641,0.9,0.6567,0.8109
94,26,55,4,14,0.8182,0.9322,0.65,0.8594,0.65,0.9322,0.7429,0.8661
95,22,62,5,10,0.8485,0.9254,0.6875,0.8921,0.6875,0.9254,0.7458,0.8302
96,17,56,7,19,0.7374,0.8889,0.4722,0.8116,0.4722,0.8889,0.5667,0.7791
97,28,55,5,11,0.8384,0.9167,0.7179,0.873,0.7179,0.9167,0.7778,0.8449
98,31,56,1,11,0.8788,0.9825,0.7381,0.9032,0.7381,0.9825,0.8378,0.8931
99,19,61,3,16,0.8081,0.9531,0.5429,0.8652,0.5429,0.9531,0.6667,0.7585
100,27,57,7,8,0.8485,0.8906,0.7714,0.8837,0.7714,0.8906,0.7826,0.8493
101,20,59,5,15,0.798,0.9219,0.5714,0.8551,0.5714,0.9219,0.6667,0.756
102,25,56,2,16,0.8182,0.9655,0.6098,0.8615,0.6098,0.9655,0.7353,0.8082
103,19,60,7,13,0.798,0.8955,0.5938,0.8571,0.5938,0.8955,0.6552,0.8069
104,19,64,4,12,0.8384,0.9412,0.6129,0.8889,0.6129,0.9412,0.7037,0.8221
105,17,61,5,16,0.7879,0.9242,0.5152,0.8531,0.5152,0.9242,0.6182,0.8453
106,28,56,5,10,0.8485,0.918,0.7368,0.8819,0.7368,0.918,0.7887,0.8494
107,21,63,4,11,0.8485,0.9403,0.6562,0.8936,0.6562,0.9403,0.7368,0.833
108,21,60,6,12,0.8182,0.9091,0.6364,0.8696,0.6364,0.9091,0.7,0.8361
109,27,58,5,9,0.8586,0.9206,0.75,0.8923,0.75,0.9206,0.7941,0.9052
110,17,64,5,13,0.8182,0.9275,0.5667,0.8767,0.5667,0.9275,0.6538,0.7923
111,25,53,9,12,0.7879,0.8548,0.6757,0.8346,0.6757,0.8548,0.7042,0.8618
112,25,54,8,12,0.798,0.871,0.6757,0.8438,0.6757,0.871,0.7143,0.8352
113,17,64,6,12,0.8182,0.9143,0.5862,0.8767,0.5862,0.9143,0.6538,0.8409
114,25,56,5,13,0.8182,0.918,0.6579,0.8615,0.6579,0.918,0.7353,0.8514
115,15,72,2,10,0.8788,0.973,0.6,0.9231,0.6,0.973,0.7143,0.8508
116,21,63,4,11,0.8485,0.9403,0.6562,0.8936,0.6562,0.9403,0.7368,0.8435
117,25,59,5,10,0.8485,0.9219,0.7143,0.8872,0.7143,0.9219,0.7692,0.8509
118,28,57,6,8,0.8586,0.9048,0.7778,0.8906,0.7778,0.9048,0.8,0.8741
119,17,63,9,10,0.8081,0.875,0.6296,0.869,0.6296,0.875,0.6415,0.841
120,21,59,7,12,0.8081,0.8939,0.6364,0.8613,0.6364,0.8939,0.6885,0.7881
121,26,60,3,10,0.8687,0.9524,0.7222,0.9023,0.7222,0.9524,0.8,0.8867
122,23,61,7,8,0.8485,0.8971,0.7419,0.8905,0.7419,0.8971,0.7541,0.8816
123,24,53,5,17,0.7778,0.9138,0.5854,0.8281,0.5854,0.9138,0.6857,0.7763
124,22,61,3,13,0.8384,0.9531,0.6286,0.8841,0.6286,0.9531,0.7333,0.8464
125,18,63,2,16,0.8182,0.9692,0.5294,0.875,0.5294,0.9692,0.6667,0.8471
126,25,57,4,13,0.8283,0.9344,0.6579,0.8702,0.6579,0.9344,0.7463,0.8594
127,20,62,6,11,0.8283,0.9118,0.6452,0.8794,0.6452,0.9118,0.7018,0.8565
128,22,51,12,14,0.7374,0.8095,0.6111,0.7969,0.6111,0.8095,0.6286,0.7571
129,21,64,2,12,0.8586,0.9697,0.6364,0.9014,0.6364,0.9697,0.75,0.837
130,23,56,4,16,0.798,0.9333,0.5897,0.8485,0.5897,0.9333,0.697,0.8115
131,31,48,10,10,0.798,0.8276,0.7561,0.8276,0.7561,0.8276,0.7561,0.8339
132,25,55,8,11,0.8081,0.873,0.6944,0.8527,0.6944,0.873,0.7246,0.8122
133,16,65,6,12,0.8182,0.9155,0.5714,0.8784,0.5714,0.9155,0.64,0.8275
134,23,61,1,14,0.8485,0.9839,0.6216,0.8905,0.6216,0.9839,0.7541,0.8383
135,18,67,8,6,0.8586,0.8933,0.75,0.9054,0.75,0.8933,0.72,0.9053
136,35,54,2,8,0.899,0.9643,0.814,0.9153,0.814,0.9643,0.875,0.925
137,31,57,1,10,0.8889,0.9828,0.7561,0.912,0.7561,0.9828,0.8493,0.8942
138,22,53,5,19,0.7576,0.9138,0.5366,0.8154,0.5366,0.9138,0.6471,0.7826
139,21,63,4,11,0.8485,0.9403,0.6562,0.8936,0.6562,0.9403,0.7368,0.8382
140,25,51,9,14,0.7677,0.85,0.641,0.816,0.641,0.85,0.6849,0.7912
141,18,71,4,6,0.899,0.9467,0.75,0.9342,0.75,0.9467,0.7826,0.8906
142,22,59,6,12,0.8182,0.9077,0.6471,0.8676,0.6471,0.9077,0.7097,0.8502
143,24,54,6,15,0.7879,0.9,0.6154,0.8372,0.6154,0.9,0.6957,0.7885
144,25,63,4,7,0.8889,0.9403,0.7812,0.9197,0.7812,0.9403,0.8197,0.8976
145,32,46,8,13,0.7879,0.8519,0.7111,0.8142,0.7111,0.8519,0.7529,0.7728
146,28,59,5,7,0.8788,0.9219,0.8,0.9077,0.8,0.9219,0.8235,0.9134
147,22,58,8,11,0.8081,0.8788,0.6667,0.8593,0.6667,0.8788,0.6984,0.8421
148,30,51,2,16,0.8182,0.9623,0.6522,0.85,0.6522,0.9623,0.7692,0.8285
149,30,51,4,14,0.8182,0.9273,0.6818,0.85,0.6818,0.9273,0.7692,0.8351
150,31,58,2,8,0.899,0.9667,0.7949,0.9206,0.7949,0.9667,0.8611,0.9603
151,33,48,3,15,0.8182,0.9412,0.6875,0.8421,0.6875,0.9412,0.7857,0.8378
152,34,50,3,12,0.8485,0.9434,0.7391,0.8696,0.7391,0.9434,0.8193,0.8568
153,23,53,7,16,0.7677,0.8833,0.5897,0.8217,0.5897,0.8833,0.6667,0.8049
154,21,59,6,13,0.8081,0.9077,0.6176,0.8613,0.6176,0.9077,0.6885,0.8466
155,22,56,5,16,0.7879,0.918,0.5789,0.8421,0.5789,0.918,0.6769,0.8762
156,18,60,3,18,0.7879,0.9524,0.5,0.8511,0.5,0.9524,0.6316,0.8364
157,23,61,4,11,0.8485,0.9385,0.6765,0.8905,0.6765,0.9385,0.7541,0.8127
158,26,53,3,17,0.798,0.9464,0.6047,0.8413,0.6047,0.9464,0.7222,0.7955
159,25,60,4,10,0.8586,0.9375,0.7143,0.8955,0.7143,0.9375,0.7813,0.8187
160,21,59,7,12,0.8081,0.8939,0.6364,0.8613,0.6364,0.8939,0.6885,0.8037
161,24,60,4,11,0.8485,0.9375,0.6857,0.8889,0.6857,0.9375,0.7619,0.8777
162,27,56,4,12,0.8384,0.9333,0.6923,0.875,0.6923,0.9333,0.7714,0.8271
163,34,55,2,8,0.899,0.9649,0.8095,0.9167,0.8095,0.9649,0.8718,0.9361
164,22,54,5,18,0.7677,0.9153,0.55,0.8244,0.55,0.9153,0.6567,0.7504
165,17,66,3,13,0.8384,0.9565,0.5667,0.8919,0.5667,0.9565,0.68,0.8121
166,17,65,6,11,0.8283,0.9155,0.6071,0.8844,0.6071,0.9155,0.6667,0.8285
167,20,53,8,18,0.7374,0.8689,0.5263,0.803,0.5263,0.8689,0.6061,0.7619
168,31,50,6,12,0.8182,0.8929,0.7209,0.8475,0.7209,0.8929,0.775,0.8829
169,15,68,6,10,0.8384,0.9189,0.6,0.8947,0.6,0.9189,0.6522,0.8438
170,22,59,9,9,0.8182,0.8676,0.7097,0.8676,0.7097,0.8676,0.7097,0.8363
171,20,64,7,8,0.8485,0.9014,0.7143,0.8951,0.7143,0.9014,0.7273,0.9012
172,22,65,2,10,0.8788,0.9701,0.6875,0.9155,0.6875,0.9701,0.7857,0.9114
173,26,56,7,10,0.8283,0.8889,0.7222,0.8682,0.7222,0.8889,0.7536,0.8276
